Portfolio,Lease ID,Asset ID,Country,Tenant Name,Estimated Rental Value,Net Effective Rent,SQM,Space utilization,Peak space utilization
Warehouse REIT,L39546,W10321,Spain,Zenith Marketing Grp.,75263430.95,79026602.44,71124.73774,91%,100%
Warehouse REIT,L87923,W10529,Sweden,Serenity Salon & Spa,17469627.7,16770842.4,17945.55055,61%,100%
Warehouse REIT,L34852,W10903,Portugal,Oasis Realty,32505133.55,30229775,32346.78212,73%,75%
Warehouse REIT,L48146,W10027,UK,Moonlight Music Academy,55155096.31,56258198.16,51758.78035,58%,90%
Warehouse REIT,L51436,W10123,Spain,Zenith Capital Management,23612801.85,25501825.69,24227.68441,63%,84%
Warehouse REIT,L68179,W10256,Italy,Elemental Artistry,39522834.34,40708519.35,37452.23265,80%,100%
Warehouse REIT,L46212,W10291,Portugal,Urban Fusion Architects,59804926.57,60402975.62,62215.21814,60%,100%
Warehouse REIT,L38007,W10736,Sweden,Elemental Designs,11945721.13,13140293.8,14060.45459,97%,100%
Warehouse REIT,L74770,W10659,Germany,EchoStar Communications,33387032.84,32051551.94,32693.61807,49%,100%
Warehouse REIT,L76156,W10718,Sweden,Nexus Financial Grp.,92633202.95,95412198.52,97320.00477,93%,100%
Warehouse REIT,L29738,W10875,Germany,Firefly Technologies,34721190.61,37846097.62,37846.35506,67%,79%
Warehouse REIT,L72760,W10511,Sweden,Solaris Solutions,7674957.241,8058705.123,8381.278332,69%,100%
Warehouse REIT,L17060,W10908,Netherlands,NovaTech Consulting,28269654.05,28835047.91,31430.22936,58%,100%
Warehouse REIT,L53929,W10758,Germany,Thunderbird Aerospace,80894285.67,85747942.36,88320.07428,55%,77%
Warehouse REIT,L85842,W10850,Italy,Serenity Yoga Studio,52085452.27,56252288.39,61315.75289,85%,85%
Warehouse REIT,L45489,W10579,Portugal,Starlight Financial Services,52242997.56,57467297.23,55743.9513,68%,100%
Warehouse REIT,L25505,W10531,UK,StellarTech Solutions,6259818.4,6322416.382,5880.091284,85%,100%
Warehouse REIT,L13449,W10635,Russia,Aurora Engineering,81449176.55,82263668.85,83086.42758,69%,100%
Warehouse REIT,L54902,W10729,UK,Solaris International,90213681.47,92017955.01,89257.41613,66%,66%
Warehouse REIT,L26866,W10319,Italy,Proxima Logistics,75911594.78,76670710.65,75137.08935,96%,100%
Warehouse REIT,L29765,W10697,Italy,OceanView Oil & Gas,89396989.42,90290959.17,90291.64279,51%,72%
Warehouse REIT,L42162,W10700,Sweden,Zenith Zen Spa,23246302.37,25570932.8,25315.30911,71%,78%
Warehouse REIT,L58910,W10705,Portugal,Crimson Catering,64161199.68,69935707.83,74132.87894,76%,100%
Warehouse REIT,L39828,W10463,Italy,Golden Gate Catering,89940279.15,90839682.96,96290.48809,88%,100%
Warehouse REIT,L72110,W10549,UK,Solaris International,97931165.49,99889788.54,91899.56632,78%,100%
Warehouse REIT,L54220,W10245,Germany,Firefly Technologies,83821476.33,78792187.05,71701.0213,70%,100%
Warehouse REIT,L37542,W10071,Netherlands,Pinnacle Painters,84656191.97,88889001.72,86222.06263,85%,100%
Warehouse REIT,L84414,W10772,Sweden,Crystal Clear Pools,49507198.17,50992414.77,49463.56287,100%,100%
Warehouse REIT,L10293,W10529,Sweden,Serenity Salon & Spa,61949245.59,64427215.01,59917.24467,58%,100%
Warehouse REIT,L87076,W10335,Germany,Firefly Technologies,93994767.96,89295029.36,90188.32416,51%,100%
Warehouse REIT,L61236,W10665,Netherlands,Horizon Healthcare Grp.,57605415.94,54149090.58,49817.91987,71%,76%
Warehouse REIT,L69881,W10640,France,Unity Web Solutions,88411019.29,95483901.58,89755.86533,66%,100%
Warehouse REIT,L73518,W10762,Spain,Elemental Eats Catering,85176613.44,92842508.83,90057.32794,59%,98%
Warehouse REIT,L20965,W10957,Portugal,AquaTrek Adventures,8867318.505,8423952.577,9266.4658,72%,100%
Warehouse REIT,L36427,W10988,Sweden,Nexus Financial Grp.,65144477.48,58630029.55,55699.57974,83%,100%
Warehouse REIT,L33227,W10096,Spain,Horizon Law Firm,61044277.12,67148705.09,65806.93215,100%,100%
Warehouse REIT,L83095,W10539,Netherlands,Sunbeam Technologies,89622935.55,82453100.74,88225.98239,53%,95%
Warehouse REIT,L68923,W10609,Spain,Galaxy Graphics,15456553.63,16693077.91,18362.3536,100%,100%
Warehouse REIT,L48011,W10780,Spain,Phoenix Fitness Center,37176791.28,34574416.73,33537.7308,55%,98%
Warehouse REIT,L40051,W10550,France,Unity Web Solutions,95910724.88,92074295.76,90233.16894,78%,100%
Warehouse REIT,L24848,W10537,Spain,Celestial Studios,64748248.79,68633143.49,64515.80242,55%,100%
Warehouse REIT,L29313,W10929,Germany,EchoStar Communications,55941011.43,59856882.75,58660.70101,64%,66%
Warehouse REIT,L22238,W10957,Portugal,AquaTrek Adventures,17600398.62,17952406.62,19748.15483,79%,100%
Warehouse REIT,L76102,W10173,Germany,Atlas Logistics,36993519.49,39583065.4,38396.67066,94%,100%
Warehouse REIT,L31499,W10150,Spain,Phoenix Fitness Center,54003829.95,54003829.55,57784.32311,58%,100%
Warehouse REIT,L15879,W10786,Portugal,TerraFirm Landscaping,14988916.29,15438583,16828.24289,77%,100%
Warehouse REIT,L79052,W10503,Netherlands,Celestial Travel Agency,59606689.58,56030288.43,54910.19331,78%,100%
Warehouse REIT,L18288,W10063,UK,Alpine Adventures,53794123.39,52180299.86,54789.27918,73%,95%
Warehouse REIT,L21459,W10112,Italy,SolarFlare Solar Panels,84601854.79,76141669.87,80710.27753,89%,100%
Warehouse REIT,L29044,W10881,Netherlands,Pinnacle Painters,31189077.22,30253405.31,32674.60158,93%,100%
Warehouse REIT,L21032,W10028,France,Elysian Fashion House,42511754,41661518.25,45411.70411,79%,100%
Warehouse REIT,L89334,W10103,Italy,Golden Gate Catering,41891121.4,46080233.58,46080.14652,99%,100%
Warehouse REIT,L64481,W10449,Netherlands,Sunbeam Technologies,8741614.147,8391949.497,8812.545481,94%,100%
Warehouse REIT,L69821,W10677,Germany,Galactic Gaming Studios,13920091.55,14337694.38,14338.5095,90%,100%
Warehouse REIT,L35271,W10361,France,LunaTide Productions,78819815.24,80396211,79592.42076,75%,100%
Warehouse REIT,L13161,W10935,Netherlands,Horizon Healthcare Grp.,38043224.13,38043224.48,41467.99809,66%,100%
Warehouse REIT,L60765,W10751,Italy,SilverLakes Realty,64597730.52,62659798.46,58274.45708,52%,100%
Warehouse REIT,L44522,W10592,Sweden,Crystal Clear Pools,58989347.87,62528708.58,58777.54347,100%,100%
Warehouse REIT,L87300,W10037,France,Tranquil Waters Spa,56965716.62,60953316.14,57906.6247,55%,100%
Warehouse REIT,L42823,W10633,Portugal,Oasis Realty,70233553.93,73042895.69,72312.05099,100%,100%
